rashod_name,year,id,object_square,building_square,balance,revaluation,depreciation,residual_value,technical_condition,quarter,otdel,city,npc
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27751,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,606246.95,1032565.26,29480,4,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,591497.66,1047314.55,29480,1,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,596414.09,1042398.12,29480,2,28240,5412,207879765.84606817
27732,2016,0,217.7,217.7,1638812.21,937438.23,601330.52,1037481.69,29480,3,28240,5412,207879765.84606817
